percentage,sd,prov_identifier,label
23.09674436,4.76513011,prov5,NG PINUAL Bower and Aitken 2008
23.09674436,4.76513011,prov5,NG PINUAL Bower and Aitken 2008
23.12560412,5.377592745,prov25,NG PINUAL Bower and Aitken 2008
23.12560412,5.377592745,prov25,NG PINUAL Bower and Aitken 2008
23.20872983,4.838387119,prov7,NG PINUAL Bower and Aitken 2008
23.20872983,4.838387119,prov7,NG PINUAL Bower and Aitken 2008
23.27590283,5.641148654,prov4,NA BETUPA Hawkins & Dhar 2012
23.27590283,5.641148654,prov4,NA BETUPA Hawkins & Dhar 2012
23.72436036,4.901511035,prov61,NG PICEEN Rehfeldt 1994
23.72436036,4.901511035,prov61,NG PICEEN Rehfeldt 1994
23.81683688,5.401509839,prov10,NG PINUAL Bower and Aitken 2008
23.81683688,5.401509839,prov10,NG PINUAL Bower and Aitken 2008
24.74403429,5.181890408,prov23,NG PINUAL Bower and Aitken 2008
24.74403429,5.181890408,prov23,NG PINUAL Bower and Aitken 2008
25.42564356,4.993082119,prov63,NG PICEEN Rehfeldt 1994
25.42564356,4.993082119,prov63,NG PICEEN Rehfeldt 1994
25.7004041,4.994924912,prov103,NG PICEEN Rehfeldt 1994
25.7004041,4.994924912,prov103,NG PICEEN Rehfeldt 1994
25.85482179,5.566700952,prov20,NG PINUAL Bower and Aitken 2008
25.85482179,5.566700952,prov20,NG PINUAL Bower and Aitken 2008
26.23410566,4.914529891,prov27,NG PICEEN Rehfeldt 1994
26.23410566,4.914529891,prov27,NG PICEEN Rehfeldt 1994
26.40733347,3.423066786,prov13,NG PICESI Mimura & Aitken 2007
26.40733347,3.423066786,prov13,NG PICESI Mimura & Aitken 2007
26.64138938,5.472099142,prov12,NG PICEEN Rehfeldt 1994
26.64138938,5.472099142,prov12,NG PICEEN Rehfeldt 1994
26.91196645,5.104090639,prov15,NG PINUAL Bower and Aitken 2008
26.91196645,5.104090639,prov15,NG PINUAL Bower and Aitken 2008
27.12242535,4.910565189,prov48,NA ALNURU Hamann et al. 1998
27.12242535,4.910565189,prov48,NA ALNURU Hamann et al. 1998
27.24479016,4.434220352,prov7,EA QUEPET Alberto et al 2011 Garden V
27.24479016,4.434220352,prov9,EA QUEPET Alberto et al 2011 Garden V
27.4142086,4.905301633,prov56,NG PICEEN Rehfeldt 1994
27.4142086,4.905301633,prov56,NG PICEEN Rehfeldt 1994
27.68331284,4.574071036,prov11,NG PICESI Mimura & Aitken 2007
27.68331284,4.574071036,prov11,NG PICESI Mimura & Aitken 2007
27.73399548,4.77572036,prov41,NA ALNURU Hamann et al. 1998
27.73399548,4.77572036,prov41,NA ALNURU Hamann et al. 1998
27.80512141,5.533374832,prov17,NA BETUPA Hawkins & Dhar 2012
27.80512141,5.533374832,prov17,NA BETUPA Hawkins & Dhar 2012
27.89212255,5.140831089,prov49,NG PICEEN Rehfeldt 1994
27.89212255,5.140831089,prov49,NG PICEEN Rehfeldt 1994
27.95350738,4.90602377,prov77,NG PICEEN Rehfeldt 1994
27.95350738,4.90602377,prov80,NG PICEEN Rehfeldt 1994
27.95350738,4.90602377,prov77,NG PICEEN Rehfeldt 1994
27.95350738,4.90602377,prov80,NG PICEEN Rehfeldt 1994
28.33529757,5.867672146,prov88,NA POPUTR McKown et al. 2013
28.33529757,5.867672146,prov88,NA POPUTR McKown et al. 2013
28.52755326,4.898194975,prov66,NG PICEEN Rehfeldt 1994
28.52755326,4.898194975,prov66,NG PICEEN Rehfeldt 1994
28.74463798,4.025545082,prov12,NG PICESI Mimura & Aitken 2007
28.74463798,4.025545082,prov12,NG PICESI Mimura & Aitken 2007
28.86477659,5.162398573,prov7,NG PICEEN Rehfeldt 1994
28.86477659,5.162398573,prov7,NG PICEEN Rehfeldt 1994
29.01719983,5.235139255,prov11,NG PSEUME Lavadinovic etal 2018
29.01719983,5.235139255,prov11,NG PSEUME Lavadinovic etal 2018
29.23364872,4.887634903,prov82,NG PICEEN Rehfeldt 1994
29.23364872,4.887634903,prov82,NG PICEEN Rehfeldt 1994
29.32852661,5.067704762,prov10,NG PICEEN Rehfeldt 1994
29.32852661,5.067704762,prov10,NG PICEEN Rehfeldt 1994
29.52164808,4.434220352,prov7,EA QUEPET Alberto et al 2011 Garden U
29.52164808,4.434220352,prov9,EA QUEPET Alberto et al 2011 Garden U
29.86679684,5.076492474,prov11,NG PICEEN Rehfeldt 1994
29.86679684,5.076492474,prov11,NG PICEEN Rehfeldt 1994
29.91653897,4.927701481,prov8,NG PINUAL Bower and Aitken 2008
29.91653897,4.927701481,prov8,NG PINUAL Bower and Aitken 2008
29.96028932,4.906221,prov101,NG PICEEN Rehfeldt 1994
29.96028932,4.906221,prov101,NG PICEEN Rehfeldt 1994
30.28995768,5.199916161,prov19,NG PINUAL Bower and Aitken 2008
30.28995768,5.199916161,prov19,NG PINUAL Bower and Aitken 2008
30.30830371,5.311539184,prov14,NG PINUAL Bower and Aitken 2008
30.30830371,5.311539184,prov14,NG PINUAL Bower and Aitken 2008
30.34035202,5.166896757,prov17,NG PICEEN Rehfeldt 1994
30.34035202,5.166896757,prov17,NG PICEEN Rehfeldt 1994
30.35919822,4.889431839,prov100,NG PICEEN Rehfeldt 1994
30.35919822,4.889431839,prov100,NG PICEEN Rehfeldt 1994
30.50890246,5.212837999,prov10,NG PICESI Mimura & Aitken 2007
30.50890246,5.212837999,prov10,NG PICESI Mimura & Aitken 2007
30.58521166,5.059253665,prov57,NG PICEEN Rehfeldt 1994
30.58521166,5.059253665,prov57,NG PICEEN Rehfeldt 1994
30.65631878,4.870237077,prov83,NG PICEEN Rehfeldt 1994
30.65631878,4.870237077,prov83,NG PICEEN Rehfeldt 1994
30.74854661,5.075129311,prov4,NG PICEEN Rehfeldt 1994
30.74854661,5.075129311,prov4,NG PICEEN Rehfeldt 1994
30.85789031,3.936399086,prov60,NG PICEEN Rehfeldt 1994
30.85789031,3.936399086,prov60,NG PICEEN Rehfeldt 1994
30.92047244,4.996786362,prov14,NA POPUTR McKown et al. 2013
30.92047244,4.996786362,prov14,NA POPUTR McKown et al. 2013
31.07522594,5.178273801,prov72,NG PICEEN Rehfeldt 1994
31.07522594,5.178273801,prov72,NG PICEEN Rehfeldt 1994
31.33326545,5.110273797,prov6,NG PICEEN Rehfeldt 1994
31.33326545,5.110273797,prov6,NG PICEEN Rehfeldt 1994
31.36740157,4.218414095,prov6,EA QUEPET Alberto et al 2011 Garden V
31.59155612,4.897554748,prov16,NG PINUAL Bower and Aitken 2008
31.59155612,4.897554748,prov16,NG PINUAL Bower and Aitken 2008
31.76657656,4.800173628,prov37,NG PICEEN Rehfeldt 1994
31.76657656,4.800173628,prov37,NG PICEEN Rehfeldt 1994
31.93453728,4.866420305,prov65,NG PICEEN Rehfeldt 1994
31.93453728,4.866420305,prov65,NG PICEEN Rehfeldt 1994
31.96796365,4.882616736,prov102,NG PICEEN Rehfeldt 1994
31.96796365,4.882616736,prov102,NG PICEEN Rehfeldt 1994
31.96832987,4.893331368,prov71,NG PICEEN Rehfeldt 1994
31.96832987,4.893331368,prov71,NG PICEEN Rehfeldt 1994
32.31147187,4.304050648,prov16,NG TSUGHE Kuser 1980
32.31147187,4.304050648,prov16,NG TSUGHE Kuser 1980
32.63755157,5.045138202,prov4,NG PSEUME White et al. 1979
32.63755157,5.045138202,prov4,NG PSEUME White et al. 1979
32.75797363,5.067440151,prov62,NG PICEEN Rehfeldt 1994
32.75797363,5.067440151,prov62,NG PICEEN Rehfeldt 1994
32.83096174,4.852881716,prov70,NG PICEEN Rehfeldt 1994
32.83096174,4.852881716,prov70,NG PICEEN Rehfeldt 1994
32.87862828,4.394210778,prov12,NG PSEUME White et al. 1979
32.87862828,4.394210778,prov13,NG PSEUME White et al. 1979
32.87862828,4.394210778,prov12,NG PSEUME White et al. 1979
32.87862828,4.394210778,prov13,NG PSEUME White et al. 1979
32.94037411,4.936055736,prov89,NG PICEEN Rehfeldt 1994
32.94037411,4.936055736,prov89,NG PICEEN Rehfeldt 1994
33.06368644,4.839862133,prov38,NG PICEEN Rehfeldt 1994
33.06368644,4.839862133,prov38,NG PICEEN Rehfeldt 1994
33.14910069,5.079624487,prov3,NG PICEEN Rehfeldt 1994
33.14910069,5.079624487,prov3,NG PICEEN Rehfeldt 1994
33.33496643,4.277109186,prov16,NG PICESI Mimura & Aitken 2007
33.33496643,4.277109186,prov16,NG PICESI Mimura & Aitken 2007
33.55123144,6.305791834,prov33,NA POPUTR McKown et al. 2013
33.55123144,6.305791834,prov33,NA POPUTR McKown et al. 2013
33.79562903,4.854722597,prov9,NG PICESI Mimura & Aitken 2007
33.79562903,4.854722597,prov9,NG PICESI Mimura & Aitken 2007
33.9270363,4.218414095,prov6,EA QUEPET Alberto et al 2011 Garden U
33.99682539,4.847321438,prov32,NG PICEEN Rehfeldt 1994
33.99682539,4.847321438,prov32,NG PICEEN Rehfeldt 1994
34.19459231,4.803979438,prov14,NG TSUGHE Kuser 1980
34.19459231,4.803979438,prov14,NG TSUGHE Kuser 1980
34.24680995,4.813173887,prov28,NA POPUTR McKown et al. 2013
34.24680995,4.813173887,prov28,NA POPUTR McKown et al. 2013
34.28694054,5.10443944,prov1,NG PICEEN Rehfeldt 1994
34.28694054,5.10443944,prov1,NG PICEEN Rehfeldt 1994
34.32935631,2.509032125,prov43,NA ALNURU Hamann et al. 1998
34.32935631,2.509032125,prov43,NA ALNURU Hamann et al. 1998
34.4486342,4.917424641,prov55,NG PICEEN Rehfeldt 1994
34.4486342,4.917424641,prov55,NG PICEEN Rehfeldt 1994
34.5147507,4.839812575,prov79,NG PICEEN Rehfeldt 1994
34.5147507,4.839812575,prov79,NG PICEEN Rehfeldt 1994
34.61914133,4.887518436,prov88,NG PICEEN Rehfeldt 1994
34.61914133,4.887518436,prov88,NG PICEEN Rehfeldt 1994
34.83290844,4.92849945,prov26,NG PICEEN Rehfeldt 1994
34.83290844,4.92849945,prov26,NG PICEEN Rehfeldt 1994
34.97788027,5.171779456,prov68,NG PICEEN Rehfeldt 1994
34.97788027,5.171779456,prov68,NG PICEEN Rehfeldt 1994
35.02228208,5.025191474,prov92,NG PICEEN Rehfeldt 1994
35.02228208,5.025191474,prov92,NG PICEEN Rehfeldt 1994
35.04764717,5.209316414,prov16,NG PICEEN Rehfeldt 1994
35.04764717,5.209316414,prov16,NG PICEEN Rehfeldt 1994
35.36101272,5.266673807,prov75,NG PICEEN Rehfeldt 1994
35.36101272,5.266673807,prov75,NG PICEEN Rehfeldt 1994
35.57947701,5.339565816,prov85,NG PICEEN Rehfeldt 1994
35.57947701,5.339565816,prov85,NG PICEEN Rehfeldt 1994
35.84001685,6.31750125,prov64,NA POPUTR McKown et al. 2013
35.84001685,6.31750125,prov64,NA POPUTR McKown et al. 2013
35.85378353,6.107168649,prov38,NA POPUTR McKown et al. 2013
35.85378353,6.107168649,prov38,NA POPUTR McKown et al. 2013
35.86131233,4.606766558,prov86,NA POPUTR McKown et al. 2013
35.86131233,4.606766558,prov86,NA POPUTR McKown et al. 2013
35.87313945,5.226840458,prov74,NG PICEEN Rehfeldt 1994
35.87313945,5.226840458,prov74,NG PICEEN Rehfeldt 1994
35.90014121,4.545183955,prov43,NG PICEEN Rehfeldt 1994
35.90014121,4.545183955,prov43,NG PICEEN Rehfeldt 1994
36.23654035,4.804120979,prov46,NG PICEEN Rehfeldt 1994
36.23654035,4.804120979,prov46,NG PICEEN Rehfeldt 1994
36.30005802,4.399693729,prov96,NG PICEEN Rehfeldt 1994
36.30005802,4.399693729,prov96,NG PICEEN Rehfeldt 1994
36.40181782,4.79578872,prov98,NG PICEEN Rehfeldt 1994
36.40181782,4.79578872,prov98,NG PICEEN Rehfeldt 1994
36.41442293,5.33804989,prov55,NA ALNURU Hamann et al. 1998
36.41442293,5.33804989,prov55,NA ALNURU Hamann et al. 1998
36.46167707,5.35684504,prov8,EG PICEAB Sogaard et al. 2008
36.46167707,5.35684504,prov8,EG PICEAB Sogaard et al. 2008
36.51365822,6.62539656,prov12,NA BETUPA Hawkins & Dhar 2012
36.51365822,6.62539656,prov12,NA BETUPA Hawkins & Dhar 2012
36.5770432,4.901226534,prov99,NG PICEEN Rehfeldt 1994
36.5770432,4.901226534,prov99,NG PICEEN Rehfeldt 1994
36.92752588,5.003929039,prov2,NA ALNURU Cannell et al. 1987
36.92752588,5.003929039,prov2,NA ALNURU Cannell et al. 1987
37.01142624,4.991902115,prov51,NG PICEEN Rehfeldt 1994
37.01142624,4.991902115,prov51,NG PICEEN Rehfeldt 1994
37.06750179,4.811647055,prov78,NG PICEEN Rehfeldt 1994
37.06750179,4.811647055,prov78,NG PICEEN Rehfeldt 1994
37.16536218,4.82547221,prov45,NG PICEEN Rehfeldt 1994
37.16536218,4.82547221,prov45,NG PICEEN Rehfeldt 1994
37.2957727,4.392598716,prov93,NG PICEEN Rehfeldt 1994
37.2957727,4.392598716,prov93,NG PICEEN Rehfeldt 1994
37.30911969,4.384834185,prov95,NG PICEEN Rehfeldt 1994
37.30911969,4.384834185,prov95,NG PICEEN Rehfeldt 1994
37.55952886,4.830957463,prov87,NG PICEEN Rehfeldt 1994
37.55952886,4.830957463,prov87,NG PICEEN Rehfeldt 1994
37.66721895,4.91696125,prov15,NA POPUTR McKown et al. 2013
37.66721895,4.91696125,prov15,NA POPUTR McKown et al. 2013
37.7098844,4.986405937,prov29,NG PICEEN Rehfeldt 1994
37.7098844,4.986405937,prov29,NG PICEEN Rehfeldt 1994
37.77371676,4.737160681,prov7,EG PICEAB Sogaard et al. 2008
37.77371676,4.737160681,prov7,EG PICEAB Sogaard et al. 2008
37.82080987,2.547591585,prov12,NG TSUGHE Kuser 1980
37.82080987,2.547591585,prov12,NG TSUGHE Kuser 1980
37.82758473,5.813373301,prov91,NA POPUTR McKown et al. 2013
37.82758473,5.813373301,prov91,NA POPUTR McKown et al. 2013
38.11033989,6.242550454,prov10,NA BETUPA Hawkins & Dhar 2012
38.11033989,6.242550454,prov10,NA BETUPA Hawkins & Dhar 2012
38.12701836,4.962860542,prov1,NA BETUPA Hawkins & Dhar 2012
38.12701836,4.962860542,prov1,NA BETUPA Hawkins & Dhar 2012
38.16270317,5.190195348,prov73,NG PICEEN Rehfeldt 1994
38.16270317,5.190195348,prov73,NG PICEEN Rehfeldt 1994
38.32325119,5.008032873,prov30,NG PICEEN Rehfeldt 1994
38.32325119,5.008032873,prov30,NG PICEEN Rehfeldt 1994
38.36425494,6.577522488,prov9,EG PICEAB Sogaard et al. 2008
38.36425494,6.577522488,prov9,EG PICEAB Sogaard et al. 2008
38.42797254,5.901102436,prov5,NA POPUTR McKown et al. 2013
38.42797254,5.901102436,prov5,NA POPUTR McKown et al. 2013
38.65411652,4.709585306,prov14,NG PICEEN Rehfeldt 1994
38.65411652,4.709585306,prov14,NG PICEEN Rehfeldt 1994
38.7139887,4.727815059,prov35,NG PICEEN Rehfeldt 1994
38.7139887,4.727815059,prov35,NG PICEEN Rehfeldt 1994
38.77382257,5.829332944,prov35,NA POPUTR McKown et al. 2013
38.77382257,5.829332944,prov35,NA POPUTR McKown et al. 2013
38.77974307,4.380407636,prov94,NG PICEEN Rehfeldt 1994
38.77974307,4.380407636,prov94,NG PICEEN Rehfeldt 1994
38.83946972,4.941741351,prov69,NG PICEEN Rehfeldt 1994
38.83946972,4.941741351,prov69,NG PICEEN Rehfeldt 1994
38.89508235,4.601885929,prov2,NG TSUGHE Hannerz et al. 1999
38.89508235,4.601885929,prov2,NG TSUGHE Hannerz et al. 1999
39.04224364,4.815158952,prov5,NG PICEEN Rehfeldt 1994
39.04224364,4.815158952,prov5,NG PICEEN Rehfeldt 1994
39.21596536,5.891915916,prov4,NA POPUTR McKown et al. 2013
39.21596536,5.891915916,prov4,NA POPUTR McKown et al. 2013
39.26390146,4.265252727,prov59,NA POPUTR McKown et al. 2013
39.26390146,4.265252727,prov59,NA POPUTR McKown et al. 2013
39.47714448,4.405676632,prov97,NG PICEEN Rehfeldt 1994
39.47714448,4.405676632,prov97,NG PICEEN Rehfeldt 1994
39.61955184,4.909785703,prov16,NG PSEUME Lavadinovic etal 2018
39.61955184,4.909785703,prov16,NG PSEUME Lavadinovic etal 2018
39.73240572,4.997025916,prov25,NG PICEEN Rehfeldt 1994
39.73240572,4.997025916,prov25,NG PICEEN Rehfeldt 1994
39.82740631,5.237318266,prov22,NG PICEEN Rehfeldt 1994
39.82740631,5.237318266,prov22,NG PICEEN Rehfeldt 1994
39.93153878,4.796383643,prov47,NG PICEEN Rehfeldt 1994
39.93153878,4.796383643,prov47,NG PICEEN Rehfeldt 1994
40.14888031,5.042589337,prov2,NG PICEEN Rehfeldt 1994
40.14888031,5.042589337,prov2,NG PICEEN Rehfeldt 1994
40.22103751,5.007182287,prov24,NG PICEEN Rehfeldt 1994
40.22103751,5.007182287,prov24,NG PICEEN Rehfeldt 1994
40.27236528,4.378602134,prov1,NG PINUPO Dixit et al 2020
40.27236528,4.378602134,prov1,NG PINUPO Dixit et al 2020
40.38271305,3.742171547,prov13,NG TSUGHE Kuser 1980
40.38271305,3.742171547,prov13,NG TSUGHE Kuser 1980
40.41193672,5.268156969,prov6,NG PSEUME Lavadinovic etal 2013
40.41193672,5.268156969,prov6,NG PSEUME Lavadinovic etal 2013
40.42612803,4.862319468,prov41,NG PICEEN Rehfeldt 1994
40.42612803,4.862319468,prov41,NG PICEEN Rehfeldt 1994
40.59461038,4.709998343,prov36,NG PICEEN Rehfeldt 1994
40.59461038,4.709998343,prov36,NG PICEEN Rehfeldt 1994
40.65592666,5.238705121,prov15,NG PICEEN Rehfeldt 1994
40.65592666,5.238705121,prov15,NG PICEEN Rehfeldt 1994
41.02730871,4.460407577,prov10,NG PSEUME White et al. 1979
41.02730871,4.460407577,prov10,NG PSEUME White et al. 1979
41.35104903,5.098214575,prov21,NG PICEEN Rehfeldt 1994
41.35104903,5.098214575,prov21,NG PICEEN Rehfeldt 1994
41.44275877,6.76489902,prov13,NA BETUPA Hawkins & Dhar 2012
41.44275877,6.76489902,prov13,NA BETUPA Hawkins & Dhar 2012
41.49763408,4.560288639,prov44,NG PICEEN Rehfeldt 1994
41.49763408,4.560288639,prov44,NG PICEEN Rehfeldt 1994
41.61425501,5.011651921,prov9,NG PICEEN Rehfeldt 1994
41.61425501,5.011651921,prov9,NG PICEEN Rehfeldt 1994
41.63720886,4.960134453,prov50,NG PICEEN Rehfeldt 1994
41.63720886,4.960134453,prov50,NG PICEEN Rehfeldt 1994
41.69001703,6.902733149,prov14,NA BETUPA Hawkins & Dhar 2012
41.69001703,6.902733149,prov14,NA BETUPA Hawkins & Dhar 2012
41.71296915,6.023658574,prov9,NA BETUPA Hawkins & Dhar 2012
41.71296915,6.023658574,prov9,NA BETUPA Hawkins & Dhar 2012
41.74650784,4.68953747,prov13,NG PICEEN Rehfeldt 1994
41.74650784,4.68953747,prov13,NG PICEEN Rehfeldt 1994
41.76362855,4.960791329,prov23,NG PICEEN Rehfeldt 1994
41.76362855,4.960791329,prov23,NG PICEEN Rehfeldt 1994
41.83435369,4.930516049,prov52,NG PICEEN Rehfeldt 1994
41.83435369,4.930516049,prov52,NG PICEEN Rehfeldt 1994
41.9333379,4.976936371,prov33,NG PICEEN Rehfeldt 1994
41.9333379,4.976936371,prov33,NG PICEEN Rehfeldt 1994
42.0064923,4.960362651,prov8,NG PICEEN Rehfeldt 1994
42.0064923,4.960362651,prov8,NG PICEEN Rehfeldt 1994
42.07415671,5.050969642,prov5,NA ALNURU Cannell et al. 1987
42.07415671,5.050969642,prov5,NA ALNURU Cannell et al. 1987
42.19483429,4.288179016,prov7,NG PINUPO Dixit et al 2020
42.19483429,4.288179016,prov7,NG PINUPO Dixit et al 2020
42.57425824,4.861748404,prov91,NG PICEEN Rehfeldt 1994
42.57425824,4.861748404,prov91,NG PICEEN Rehfeldt 1994
42.62124492,5.503150195,prov18,NA BETUPA Hawkins & Dhar 2012
42.62124492,5.503150195,prov18,NA BETUPA Hawkins & Dhar 2012
42.98763886,4.837424275,prov40,NG PICEEN Rehfeldt 1994
42.98763886,4.837424275,prov40,NG PICEEN Rehfeldt 1994
43.0033919,4.090728272,prov2,NG PINUPO Dixit et al 2020
43.0033919,4.090728272,prov2,NG PINUPO Dixit et al 2020
43.17682266,6.574093327,prov11,NA BETUPA Hawkins & Dhar 2012
43.17682266,6.574093327,prov11,NA BETUPA Hawkins & Dhar 2012
43.29342387,5.079108554,prov81,NG PICEEN Rehfeldt 1994
43.29342387,5.079108554,prov81,NG PICEEN Rehfeldt 1994
43.57509402,4.734271662,prov20,NA POPUTR McKown et al. 2013
43.57509402,4.734271662,prov20,NA POPUTR McKown et al. 2013
43.57752984,5.743268338,prov1,NG PINUAL Bower and Aitken 2008
43.57752984,5.743268338,prov1,NG PINUAL Bower and Aitken 2008
43.63133051,4.859652669,prov90,NG PICEEN Rehfeldt 1994
43.63133051,4.859652669,prov90,NG PICEEN Rehfeldt 1994
43.70990406,4.644837744,prov3,NG PINUPO Dixit et al 2020
43.70990406,4.644837744,prov3,NG PINUPO Dixit et al 2020
43.95583914,4.798173353,prov39,NG PICEEN Rehfeldt 1994
43.95583914,4.798173353,prov39,NG PICEEN Rehfeldt 1994
43.99606122,6.647051726,prov95,NA POPUTR McKown et al. 2013
43.99606122,6.647051726,prov95,NA POPUTR McKown et al. 2013
44.01701634,4.971548237,prov54,NG PICEEN Rehfeldt 1994
44.01701634,4.971548237,prov54,NG PICEEN Rehfeldt 1994
44.03744981,4.851391626,prov28,NG PICEEN Rehfeldt 1994
44.03744981,4.851391626,prov28,NG PICEEN Rehfeldt 1994
44.09709035,5.13950303,prov34,NG PICEEN Rehfeldt 1994
44.09709035,5.13950303,prov34,NG PICEEN Rehfeldt 1994
44.20363194,4.937122926,prov30,NA POPUTR McKown et al. 2013
44.20363194,4.937122926,prov30,NA POPUTR McKown et al. 2013
44.27306079,4.305806541,prov49,NA ALNURU Hamann et al. 1998
44.27306079,4.305806541,prov49,NA ALNURU Hamann et al. 1998
44.5624232,6.189762555,prov8,NA BETUPA Hawkins & Dhar 2012
44.5624232,6.189762555,prov8,NA BETUPA Hawkins & Dhar 2012
44.65719898,4.975358944,prov19,NG TSUGHE Kuser 1980
44.65719898,4.975358944,prov19,NG TSUGHE Kuser 1980
44.75102235,4.435781885,prov17,NG PICESI Mimura & Aitken 2007
44.75102235,4.435781885,prov17,NG PICESI Mimura & Aitken 2007
44.90024172,5.526515823,prov6,NA BETUPA Hawkins & Dhar 2012
44.90024172,5.526515823,prov6,NA BETUPA Hawkins & Dhar 2012
45.01268288,5.086787307,prov48,NG PICEEN Rehfeldt 1994
45.01268288,5.086787307,prov48,NG PICEEN Rehfeldt 1994
45.75461427,4.503143088,prov42,NG PICEEN Rehfeldt 1994
45.75461427,4.503143088,prov42,NG PICEEN Rehfeldt 1994
45.8124747,4.825371042,prov76,NG PICEEN Rehfeldt 1994
45.8124747,4.825371042,prov76,NG PICEEN Rehfeldt 1994
45.84656454,4.944485518,prov34,NA POPUTR McKown et al. 2013
45.84656454,4.944485518,prov34,NA POPUTR McKown et al. 2013
45.9895509,6.920512952,prov53,NA POPUTR McKown et al. 2013
45.9895509,6.920512952,prov53,NA POPUTR McKown et al. 2013
46.03140145,4.781887261,prov31,NG PICEEN Rehfeldt 1994
46.03140145,4.781887261,prov31,NG PICEEN Rehfeldt 1994
46.41728581,5.070415866,prov17,NG TSUGHE Kuser 1980
46.41728581,5.070415866,prov18,NG TSUGHE Kuser 1980
46.41728581,5.070415866,prov17,NG TSUGHE Kuser 1980
46.41728581,5.070415866,prov18,NG TSUGHE Kuser 1980
46.74975106,2.687857503,prov44,NA ALNURU Hamann et al. 1998
46.74975106,2.687857503,prov44,NA ALNURU Hamann et al. 1998
47.3919985,4.492525898,prov53,NA ALNURU Hamann et al. 1998
47.3919985,4.492525898,prov53,NA ALNURU Hamann et al. 1998
47.41760136,3.603141192,prov14,NG PICESI Mimura & Aitken 2007
47.41760136,3.603141192,prov14,NG PICESI Mimura & Aitken 2007
47.59591152,6.342753913,prov65,NA POPUTR McKown et al. 2013
47.59591152,6.342753913,prov65,NA POPUTR McKown et al. 2013
47.71754782,5.076459127,prov20,NG PICEEN Rehfeldt 1994
47.71754782,5.076459127,prov20,NG PICEEN Rehfeldt 1994
47.93044259,6.716847873,prov68,NA POPUTR McKown et al. 2013
47.93044259,6.716847873,prov68,NA POPUTR McKown et al. 2013
48.0835007,4.470936715,prov58,NG PICEEN Rehfeldt 1994
48.0835007,4.470936715,prov58,NG PICEEN Rehfeldt 1994
48.23445312,5.217706992,prov3,NA BETUPA Hawkins & Dhar 2012
48.23445312,5.217706992,prov3,NA BETUPA Hawkins & Dhar 2012
48.25680863,3.526725058,prov1,NA POPUTR McKown et al. 2013
